sim.id,method,component,x
1,lrvb,1,0.00345268201326278
1,lrvb,2,-0.00601112168782714
1,lrvb,3,-0.000904708564503191
1,lrvb,4,0.00101036386235185
1,lrvb,5,-0.00351834671014046
1,lrvb,6,-0.00268160852569916
1,lrvb,7,0.000600432422445932
1,lrvb,8,0.000113736352362032
1,lrvb,9,-9.19225521161019e-05
1,lrvb,10,-0.00179615327414233
1,lrvb,11,-0.00267594886552232
1,lrvb,12,-0.00225767144492117
1,lrvb,13,-8.07819644071557e-05
1,lrvb,14,0.00114658165148296
1,lrvb,15,-0.0003626884388469
1,lrvb,16,-0.000284102192608682
1,lrvb,17,-0.000614013690776998
1,lrvb,18,-0.00237434126287816
1,lrvb,19,-0.000659743784574705
1,lrvb,20,-0.000490343876895609
1,lrvb,21,0.0028715930107404
1,lrvb,22,0.00046644169348835
1,lrvb,23,0.00277691585167243
1,lrvb,24,-0.00324181546271904
1,lrvb,25,-0.000995962418043435
1,lrvb,26,-0.00299015334684957
1,lrvb,27,0.00141519220555191
1,lrvb,28,0.000966691510138625
1,lrvb,29,-0.00815876000257032
1,lrvb,30,-0.00303650736739
1,lrvb,31,0.000865833064638351
1,lrvb,32,-0.00103795156234484
1,lrvb,33,0.00100619926197558
1,lrvb,34,0.000440676897634252
1,lrvb,35,0.000363823479538776
1,lrvb,36,-0.00152875348831201
1,lrvb,37,0.000796377655898556
1,lrvb,38,0.000712159499771224
1,lrvb,39,7.60960819024023e-05
1,lrvb,40,0.0021817698307471
1,lrvb,41,0.00093238305336935
1,lrvb,42,-0.00135923988800326
1,lrvb,43,-0.00168657989621816
1,lrvb,44,0.00084802324819534
1,lrvb,45,0.000462168305545217
1,lrvb,46,-0.00449071107301564
1,lrvb,47,0.00141574818263975
1,lrvb,48,0.000626500493267892
1,lrvb,49,0.00156928710317872
1,lrvb,50,-0.000509361343226563
1,lrvb,51,0.000454909808629662
1,lrvb,52,0.00209387767615618
1,lrvb,53,0.00278360836704022
1,lrvb,54,-0.00278576305656137
1,lrvb,55,-0.0032447091529055
1,lrvb,56,-0.000282640719834529
1,lrvb,57,-0.00147566592618654
1,lrvb,58,-0.00126423846285531
1,lrvb,59,0.000371095539455075
1,lrvb,60,0.000798790457137586
1,lrvb,61,-0.00067690827744294
1,lrvb,62,0.00142239906178522
1,lrvb,63,-0.00144277897942016
1,lrvb,64,-1.72790580961226e-05
1,lrvb,65,-0.00172587506317279
1,lrvb,66,0.0011838993690883
1,lrvb,67,1.8872927590368e-05
1,lrvb,68,-0.00176510696999693
1,lrvb,69,-0.000734207008750148
1,lrvb,70,-0.000510843656390196
1,lrvb,71,-0.00324016486448421
1,lrvb,72,-0.00320354939239655
1,lrvb,73,-0.00175980219942828
1,lrvb,74,-0.00319666867637978
1,lrvb,75,-0.00281274896383997
1,lrvb,76,-0.00548928850938146
1,lrvb,77,-0.00253753149952434
1,lrvb,78,-5.53421418732262e-05
1,lrvb,79,-0.000989702047175556
1,lrvb,80,-0.00299640852110818
1,lrvb,81,0.002327804756282
1,lrvb,82,0.00221310630981179
1,lrvb,83,-0.00325065457905539
1,lrvb,84,0.0006838065287105
1,lrvb,85,-0.00156276674321744
1,lrvb,86,0.00120677487568938
1,lrvb,87,0.00150992109797061
1,lrvb,88,-0.00215656132276369
1,lrvb,89,0.00213792601631955
1,lrvb,90,-0.00486578212225421
1,lrvb,91,-0.00308812209031541
1,lrvb,92,0.000159799186797189
1,lrvb,93,-0.00177030553293448
1,lrvb,94,0.00202086736635683
1,lrvb,95,0.000570273866819208
1,lrvb,96,-0.00064154982957579
1,lrvb,97,0.00066486548992905
1,lrvb,98,0.00371886569177418
1,lrvb,99,-0.00102942040647827
1,lrvb,100,0.000288682745169995
1,lrvb,101,-0.00242920383611396
1,lrvb,102,0.00034102454655712
1,lrvb,103,0.000289299883079421
1,lrvb,104,0.000777209512909176
1,lrvb,105,0.00119673258737759
1,lrvb,106,0.00070584101158741
1,lrvb,107,0.000150564177136728
1,lrvb,108,-0.00108737407662171
1,lrvb,109,0.00150521158738691
1,lrvb,110,-0.00217414879502015
1,lrvb,111,0.000358022839514545
1,lrvb,112,-0.00412600100574504
1,lrvb,113,0.00167597766187777
1,lrvb,114,-0.00145289364441749
1,lrvb,115,0.00165405646641513
1,lrvb,116,0.00137624942900174
1,lrvb,117,-0.00156489067435037
1,lrvb,118,-0.0019178645060903
1,lrvb,119,-0.00110326351783346
1,lrvb,120,0.00330685050535111
1,lrvb,121,-0.00139219185890708
